strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,gross_stock_return,cost_drag_per_holding,realized_stock_return
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,VRSN,Information Technology,1.4593424041446577,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,CF,Materials,1.13143915745935,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,MO,Consumer Staples,1.09327174925193,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,YUM,Consumer Discretionary,1.0569777205979682,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,BIIB,Health Care,1.0339230421324292,100000.0,0.1331072488342517,0.0,0.1331072488342517
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,BKNG,Consumer Discretionary,0.9951475498486269,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,NFLX,Communication Services,0.9691287209122815,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,ROST,Consumer Discretionary,0.8694679075378557,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,DPZ,Consumer Discretionary,0.8629936223602679,100000.0,-0.05,0.0,-0.05
improved_6_hzz_cross_sectional_trend_stop_take_top10,"Improved 6: replace the index-derived trend factor with a Han, Zhou, Zhu (2016) cross-sectional trend factor. Monthly OLS of next-month returns on 11 normalized MA ratios across the eligible cross-section, strict 12-month trailing-mean smoothing of past betas, per-stock predicted-return signal. Stop-loss and take-profit inherited from improved 4.",2011-05-31,TPL,Energy,0.8260843224288639,100000.0,-0.05,0.0,-0.05
