name,n_months,avg_monthly_return,monthly_volatility,annualized_return_approx,annualized_volatility,annualized_sharpe,t_stat,p_value,cumulative_return,max_drawdown,best_month,worst_month,final_equity,total_return,avg_positions,weights,top_n,trend_col,regime_filter,stop_loss,take_profit,max_per_sector,volatility_penalty,assignment_scope,notes
value_quality_heavy_top10,240,0.006047401024813025,0.019850760477761895,0.0725688122977563,0.06876505143272768,1.0553153205847565,4.719513589048998,4.026877335684826e-06,3.0587533865179415,-0.13405125654428718,0.09189206462601224,-0.05606901816630592,4058753.386517942,3.0587533865179424,7.995833333333334,"{""roe"": 0.35, ""pe"": 0.35, ""momentum"": 0.15, ""trend"": 0.15}",10,trend_z,False,,,,0.0,True,Weight test: emphasize fundamentals.
hzz_sector_cap2_top15,240,0.007631071044812957,0.0251233823073492,0.09157285253775549,0.08702994922861165,1.0521993101157678,4.7055783665944775,4.286903023409399e-06,4.759815404626274,-0.15412952671517977,0.14745355158332257,-0.09746357461941675,5759815.404626265,4.7598154046262655,11.091666666666667,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",15,hzz_trend_z,False,,,3.0,0.0,False,Diversification test: HZZ score with 15 names and max three per sector.
base_equal_top10,240,0.006613295505383575,0.022519248987618708,0.07935954606460291,0.07800896678969921,1.0173131286117998,4.549562619957943,8.555046043555033e-06,3.585175543843378,-0.15448078618426098,0.1326235630471293,-0.08478320311873275,4585175.54384338,3.5851755438433806,7.995833333333334,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",10,trend_z,False,,,,0.0,True,"Required assignment baseline: equal-weight ROE, P/E, momentum, and index-regression trend."
hzz_sector_cap2_top10,240,0.006360000955616274,0.02233771491347034,0.07632001146739528,0.0773801143102393,0.9863000610390187,4.410867965390876,1.5577262377412233e-05,3.320308823615446,-0.14051052110805418,0.13809489999931698,-0.09115516296772097,4320308.823615447,3.3203088236154468,7.725,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",10,hzz_trend_z,False,,,2.0,0.0,False,Risk-control improvement: HZZ score with max two holdings per GICS sector.
hzz_low_vol_factor_top10,240,0.00620224986737423,0.022043055773438715,0.07442699840849076,0.07635938510734065,0.9746935272444441,4.358961968295242,1.9422538697630687e-05,3.1680873546875317,-0.14374333656361438,0.15576770717512842,-0.0795975526861052,4168087.3546875273,3.1680873546875272,7.733333333333333,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1, ""low_volatility"": 0.5}",10,hzz_trend_z,False,,,,0.0,False,Risk-score test: add low-volatility as a half-weight risk overlay.
equal_top5,240,0.0045880598557128905,0.01641807059887457,0.05505671826855468,0.05687386487900708,0.9680495318136337,4.329249117444262,2.2017165951481367e-05,1.906694881021163,-0.09182006753953442,0.0888590149920146,-0.05290483662153056,2906694.881021172,1.906694881021172,4.0,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",5,trend_z,False,,,,0.0,True,"Concentration test: same score, fewer names."
trend_momentum_heavy_top10,240,0.00675696978152732,0.024440618460135607,0.08108363737832784,0.08466478588272137,0.9577020308141546,4.282973686180097,2.673007499219774e-05,3.6952842092580758,-0.17556179080234835,0.15759680774982532,-0.09152847605170278,4695284.209258075,3.695284209258075,7.995833333333334,"{""roe"": 0.2, ""pe"": 0.2, ""momentum"": 0.3, ""trend"": 0.3}",10,trend_z,False,,,,0.0,True,Weight test: emphasize price-based signals.
hzz_trend_composite_top10,240,0.006556181232394766,0.024126734915254956,0.0786741747887372,0.08357746138793515,0.941332429607562,4.209766604055089,3.621072412597395e-05,3.484498201980329,-0.16526009993590385,0.16555772831232093,-0.09782185198496494,4484498.20198033,3.4844982019803297,7.725,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",10,hzz_trend_z,False,,,,0.0,False,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.
trend_heavy_top10_regime,240,0.005507163718818494,0.02076848597109824,0.06608596462582193,0.0719441457964472,0.9185732055642173,4.107984259902956,5.485407623830879e-05,2.549961301413203,-0.12450688671979082,0.072213834791565,-0.10026814720170281,3549961.3014132,2.5499613014132,6.625,"{""roe"": 0.2, ""pe"": 0.2, ""momentum"": 0.3, ""trend"": 0.3}",10,trend_z,True,,,,0.0,True,Combined price-signal overweight and market-regime filter.
hzz_sector_cap2_vol_penalty_top10,240,0.005554393345021733,0.021014916551587867,0.0666527201402608,0.07279780636834066,0.9155869313288494,4.094629235523478,5.78924297541031e-05,2.5876876455123963,-0.13966815854825743,0.0927308125778187,-0.056160566352699344,3587687.6455124,2.5876876455124003,7.7375,"{""roe"": 1, ""pe"": 1, ""momentum"": 1, ""trend"": 1}",10,hzz_trend_z,False,,,2.0,0.25,False,"Combined improvement: HZZ trend, sector cap, and volatility-aware ranking."
